Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
Porsche,911,2022,3,379,331,4,"101,200",Combustion,3.0,379.0,331.0,4.0,101200
Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",Combustion,5.2,630.0,443.0,2.8,274390
Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",Combustion,3.9,661.0,561.0,3.0,333750
Audi,R8,2022,5.2,562,406,3.2,"142,700",Combustion,5.2,562.0,406.0,3.2,142700
McLaren,720S,2021,4,710,568,2.7,"298,000",Combustion,4.0,710.0,568.0,2.7,298000
BMW,M8,2022,4.4,617,553,3.1,"130,000",Combustion,4.4,617.0,553.0,3.1,130000
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Combustion,4.0,523.0,494.0,3.8,118500
Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",Combustion,6.2,490.0,465.0,2.8,59900
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",Combustion,5.2,760.0,625.0,3.5,81000
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",Combustion,3.8,600.0,481.0,2.5,212000
Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",Combustion,5.2,630.0,516.0,3.5,201495
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",Combustion,6.2,717.0,656.0,3.5,61000
Jaguar,F-Type,2022,3,296,295,5.4,"70,100",Combustion,3.0,296.0,295.0,5.4,70100
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Combustion,5.0,1280.0,1015.0,2.5,2800000
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",Combustion,3.5,416.0,317.0,3.8,104450
Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",Combustion,4.7,454.0,384.0,4.8,150000
Porsche,Boxster,2021,2,300,280,4.7,"62,000",Combustion,2.0,300.0,280.0,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",Combustion,2.9,505.0,443.0,3.8,78000
Ariel,Atom,2021,2,320,243,2.8,"75,000",Combustion,2.0,320.0,243.0,2.8,75000
Bentley,Continental GT,2021,6,626,664,3.6,"225,000",Combustion,6.0,626.0,664.0,3.6,225000
McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",Combustion,6.2,622.0,468.0,3.5,248000
Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",Combustion,6.0,720.0,737.0,2.8,2800000
Polestar,1,2021,2,600,738,4.1,"155,000",Combustion,2.0,600.0,738.0,4.1,155000
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Electric,,1914.0,1696.0,1.85,2400000
Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200",Combustion,4.0,414.0,309.0,3.8,100200
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770",Combustion,6.5,759.0,531.0,2.8,517770
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4,591,590,3.5,"117,000",Combustion,4.0,591.0,590.0,3.5,117000
McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
BMW,M4,2022,3,503,479,3.8,"72,800",Combustion,3.0,503.0,479.0,3.8,72800
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000",Combustion,6.2,622.0,468.0,3.2,222000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690",Combustion,3.7,350.0,276.0,4.5,45690
Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000",Electric,,562.0,479.0,3.8,104000
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Combustion,4.0,641.0,626.0,3.5,218000
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Combustion,3.9,611.0,561.0,3.3,222000
Audi,RS3,2022,2.5,394,369,3.9,"57,000",Combustion,2.5,394.0,369.0,3.9,57000
McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500",Hybrid,1.5,369.0,420.0,4.2,148500
Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,"132,000",Combustion,4.0,603.0,627.0,3.4,132000
Porsche,Cayman,2021,2,300,280,5.1,"58,900",Combustion,2.0,300.0,280.0,5.1,58900
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"518,000",Combustion,6.5,759.0,531.0,2.8,518000
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS3,2022,2.5,394,369,3.9,"56,200",Combustion,2.5,394.0,369.0,3.9,56200
McLaren,570S,2021,3.8,562,443,2.8,"192,500",Combustion,3.8,562.0,443.0,2.8,192500
BMW,M4,2022,3,503,479,3.8,"71,800",Combustion,3.0,503.0,479.0,3.8,71800
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"68,000",Combustion,4.0,503.0,516.0,3.8,68000
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"42,500",Combustion,6.2,455.0,455.0,4.1,42500
Ford,Mustang GT,2022,5,460,420,4.3,"39,000",Combustion,5.0,460.0,420.0,4.3,39000
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,100",Combustion,3.7,350.0,276.0,4.8,46100
Aston Martin,Vantage,2021,4,503,505,3.5,"142,100",Combustion,4.0,503.0,505.0,3.5,142100
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
Porsche,Panamera,2021,2.9,325,331,5.1,"87,200",Combustion,2.9,325.0,331.0,5.1,87200
Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Combustion,4.0,641.0,627.0,3.2,218000
Ferrari,Roma,2021,3.9,612,560,3.4,"222,000",Combustion,3.9,612.0,560.0,3.4,222000
Audi,S5,2022,3,349,369,4.4,"52,500",Combustion,3.0,349.0,369.0,4.4,52500
McLaren,600LT,2021,3.8,592,457,2.8,"241,000",Combustion,3.8,592.0,457.0,2.8,241000
BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
Aston Martin,Vantage,2022,4,503,505,3.5,"146,000",Combustion,4.0,503.0,505.0,3.5,146000
Audi,RS5,2021,2.9,444,443,3.6,"75,400",Combustion,2.9,444.0,443.0,3.6,75400
BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,900",Combustion,6.2,455.0,455.0,4.0,42900
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"78,595",Combustion,6.2,797.0,707.0,3.4,78595
Ford,GT,2021,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
Jaguar,F-Type,2022,2,296,295,5.4,"62,750",Combustion,2.0,296.0,295.0,5.4,62750
Lamborghini,Aventador,2021,6.5,770,531,2.9,"417,826",Combustion,6.5,770.0,531.0,2.9,417826
Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,"70,100",Combustion,4.0,503.0,516.0,3.8,70100
Nissan,370Z,2021,3.7,332,270,5,"30,090",Combustion,3.7,332.0,270.0,5.0,30090
Porsche,Panamera,2022,2.9,325,331,5.3,"88,700",Combustion,2.9,325.0,331.0,5.3,88700
Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Combustion,2.5,394.0,354.0,3.6,67600
BMW,M4,2022,3,473,406,4.1,"72,800",Combustion,3.0,473.0,406.0,4.1,72800
Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,"59,900",Combustion,6.2,490.0,465.0,2.8,59900
Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280",Combustion,3.9,710.0,568.0,2.8,274280
Ford,Mustang Mach 1,2021,5,480,420,4.3,"52,915",Combustion,5.0,480.0,420.0,4.3,52915
Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Combustion,4.0,641.0,627.0,3.6,218009
Porsche,718 Cayman,2022,2,300,280,4.5,"61,000",Combustion,2.0,300.0,280.0,4.5,61000
Acura,NSX,2022,3.5,573,476,2.9,"159,495",Combustion,3.5,573.0,476.0,2.9,159495
Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",Combustion,4.0,503.0,505.0,3.5,142086
Bentley,Continental GT,2021,6,626,664,3.3,"219,800",Combustion,6.0,626.0,664.0,3.3,219800
Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"74,290",Combustion,6.2,797.0,707.0,3.4,74290
Jaguar,F-Type,2022,3,380,339,4.9,"71,900",Combustion,3.0,380.0,339.0,4.9,71900
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Combustion,5.0,1600.0,1106.0,2.5,3000000
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",Combustion,4.7,454.0,384.0,4.7,134300
Mazda,MX-5 Miata,2021,2,181,151,6.5,"26,830",Combustion,2.0,181.0,151.0,6.5,26830
McLaren,GT,2022,4,620,465,3.1,"213,195",Combustion,4.0,620.0,465.0,3.1,213195
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Combustion,6.2,622.0,468.0,3.7,221580
Pagani,Huayra,2022,6,764,738,2.8,"2,800,000",Combustion,6.0,764.0,738.0,2.8,2800000
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"100,550",Combustion,4.0,414.0,309.0,4.2,100550
Rimac,Nevera,2022,Electric,1914,1696,1.95,"2,400,000",Electric,,1914.0,1696.0,1.95,2400000
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",Combustion,6.8,624.0,605.0,4.4,330000
Tesla,Roadster,2022,Electric,1000+,737,1.9,"200,000",Electric,,1000.0,737.0,1.9,200000
