,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
0,Porsche,911,2022,3,379,331,4,"101,200",Combustion,3.0,379.0,331.0,4.0,101200
1,Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",Combustion,5.2,630.0,443.0,2.8,274390
2,Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",Combustion,3.9,661.0,561.0,3.0,333750
3,Audi,R8,2022,5.2,562,406,3.2,"142,700",Combustion,5.2,562.0,406.0,3.2,142700
4,McLaren,720S,2021,4,710,568,2.7,"298,000",Combustion,4.0,710.0,568.0,2.7,298000
5,BMW,M8,2022,4.4,617,553,3.1,"130,000",Combustion,4.4,617.0,553.0,3.1,130000
6,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Combustion,4.0,523.0,494.0,3.8,118500
7,Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",Combustion,6.2,490.0,465.0,2.8,59900
8,Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",Combustion,5.2,760.0,625.0,3.5,81000
9,Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",Combustion,3.8,600.0,481.0,2.5,212000
10,Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",Combustion,5.2,630.0,516.0,3.5,201495
11,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
12,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",Combustion,6.2,717.0,656.0,3.5,61000
13,Jaguar,F-Type,2022,3,296,295,5.4,"70,100",Combustion,3.0,296.0,295.0,5.4,70100
14,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Combustion,5.0,1280.0,1015.0,2.5,2800000
15,Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
16,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",Combustion,3.5,416.0,317.0,3.8,104450
17,Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",Combustion,4.7,454.0,384.0,4.8,150000
18,Porsche,Boxster,2021,2,300,280,4.7,"62,000",Combustion,2.0,300.0,280.0,4.7,62000
19,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",Combustion,2.9,505.0,443.0,3.8,78000
20,Ariel,Atom,2021,2,320,243,2.8,"75,000",Combustion,2.0,320.0,243.0,2.8,75000
21,Bentley,Continental GT,2021,6,626,664,3.6,"225,000",Combustion,6.0,626.0,664.0,3.6,225000
22,McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
23,Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",Combustion,6.2,622.0,468.0,3.5,248000
24,Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",Combustion,6.0,720.0,737.0,2.8,2800000
25,Polestar,1,2021,2,600,738,4.1,"155,000",Combustion,2.0,600.0,738.0,4.1,155000
26,Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Electric,,1914.0,1696.0,1.85,2400000
27,Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200",Combustion,4.0,414.0,309.0,3.8,100200
28,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770",Combustion,6.5,759.0,531.0,2.8,517770
29,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
30,Audi,RS7,2022,4,591,590,3.5,"117,000",Combustion,4.0,591.0,590.0,3.5,117000
31,McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
32,BMW,M4,2022,3,503,479,3.8,"72,800",Combustion,3.0,503.0,479.0,3.8,72800
33,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000",Combustion,6.2,622.0,468.0,3.2,222000
34,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
35,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
36,Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690",Combustion,3.7,350.0,276.0,4.5,45690
37,Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000",Electric,,562.0,479.0,3.8,104000
38,Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Combustion,4.0,641.0,626.0,3.5,218000
39,Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Combustion,3.9,611.0,561.0,3.3,222000
40,Audi,RS3,2022,2.5,394,369,3.9,"57,000",Combustion,2.5,394.0,369.0,3.9,57000
41,McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
42,BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500",Hybrid,1.5,369.0,420.0,4.2,148500
